profile_id,country,experience
21,romania,"·      Software EngineerSoftware EngineerGoogle via Qualitest Group · Full-timeGoogle via Qualitest Group · Full-timeOct 2025 - Present · 6 mosOct 2025 to Present · 6 mosBucharest, RomaniaBucharest, RomaniaSoftware EngineerSoftware EngineerDeutsche Bank · Full-timeDeutsche Bank · Full-timeJul 2023 - Oct 2025 · 2 yrs 4 mosJul 2023 to Oct 2025 · 2 yrs 4 mosBucharest, RomaniaBucharest, RomaniaCeragon NetworksCeragon NetworksFull-time · 11 mosFull-time · 11 mosBucharest, RomaniaBucharest, Romaniao  Junior Software DeveloperJunior Software DeveloperSep 2022 - May 2023 · 9 mosSep 2022 to May 2023 · 9 moso  Intern Software DeveloperIntern Software DeveloperJul 2022 - Sep 2022 · 3 mos "
22,romania,"
Deutsche BankDeutsche Bank3 yrs 1 mo3 yrs 1 moBucharest, RomaniaBucharest, RomaniaSoftware EngineerSoftware EngineerFull-timeFull-timeSep 2023 - Present · 2 yrs 7 mosSep 2023 to Present · 2 yrs 7 mosLinux, Java and +7 skillsDB Cloud SchoolDB Cloud SchoolPart-timePart-timeMar 2023 - Sep 2023 · 7 mosMar 2023 to Sep 2023 · 7 mosHybridHybridSpring Framework, Google Cloud Platform (GCP) and +1 skillInternInternOMV PetromOMV PetromJul 2022 - Aug 2022 · 2 mosJul 2022 to Aug 2022 · 2 mosBucharest, Romania"
23,romania,"Software Development Team LeadSoftware Development Team LeadAUMOVIO · Full-timeAUMOVIO · Full-timeSep 2025 - Present · 7 mosSep 2025 to Present · 7 mosOn-siteOn-siteContinentalContinental12 yrs 3 mos12 yrs 3 mosConti Teacher for Tech Club for ChildrenConti Teacher for Tech Club for ChildrenSeasonalSeasonalAug 2021 - Sep 2025 · 4 yrs 2 mosAug 2021 to Sep 2025 · 4 yrs 2 mosContinental AmbassadorContinental AmbassadorFull-timeFull-timeApr 2019 - Sep 2025 · 6 yrs 6 mosApr 2019 to Sep 2025 · 6 yrs 6 mosSibiu, Sibiu, RomaniaSibiu, Sibiu, RomaniaSoftware Development Team LeaderSoftware Development Team LeaderFull-timeFull-timeApr 2018 - Sep 2025 · 7 yrs 6 mosApr 2018 to Sep 2025 · 7 yrs 6 mosSibiu County, RomaniaSibiu County, RomaniaSoftware EngineerSoftware EngineerFull-timeFull-timeJul 2013 - Apr 2018 · 4 yrs 10 mosJul 2013 to Apr 2018 · 4 yrs 10 mosSibiu, Sibiu, Romania"
24,romania,"AdobeAdobe2 yrs 9 mos2 yrs 9 mosSoftware DeveloperSoftware DeveloperFull-timeFull-timeDec 2023 - Present · 2 yrs 4 mosDec 2023 to Present · 2 yrs 4 mosSoftware Engineer InternSoftware Engineer InternInternshipInternshipJul 2023 - Dec 2023 · 6 mosJul 2023 to Dec 2023 · 6 mosBucharest, RomaniaBucharest, RomaniaJunior InstructorJunior InstructorAcademia Cisco UPBAcademia Cisco UPBMar 2022 - Sep 2023 · 1 yr 7 mosMar 2022 to Sep 2023 · 1 yr 7 mosBucharest, RomaniaBucharest, RomaniaVolunteeringVolunteeringSoftware Engineer InternSoftware Engineer InternDell Technologies · InternshipDell Technologies · InternshipJun 2022 - Sep 2022 · 4 mosJun 2022 to Sep 2022 · 4 mosBucharest, Romania"
25,romania,"·      Java Software EngineerJava Software EngineerMinderaMinderaNov 2025 - Present · 5 mosNov 2025 to Present · 5 mos·      Java Software DeveloperJava Software DeveloperEndavaEndavaNov 2017 - Nov 2025 · 8 yrs 1 moNov 2017 to Nov 2025 · 8 yrs 1 moCluj, RomaniaCluj, Romania Software DeveloperSoftware DeveloperSiemensSiemensMay 2015 - May 2017 · 2 yrs 1 moMay 2015 to May 2017 · 2 yrs 1 moHannover-Braunschweig-Göttingen-Wolfsburg RegionHannover-Braunschweig-Göttingen-Wolfsburg Regiono     Software DeveloperSoftware DeveloperAccentureAccentureOct 2011 - Apr 2015 · 3 yrs 7 mosOct 2011 to Apr 2015 · 3 yrs 7 mosBraunschweig, Siemens AG "
26,romania,"·      AdobeAdobeFull-time · 5 yrs 4 mosFull-time · 5 yrs 4 moso  Senior Software Development EngineerSenior Software Development EngineerMar 2025 - Present · 1 yr 1 moMar 2025 to Present · 1 yr 1 moBucharest, RomaniaBucharest, Romaniao  Software Development EngineerSoftware Development EngineerDec 2020 - Mar 2025 · 4 yrs 4 mosDec 2020 to Mar 2025 · 4 yrs 4 mosBucharest, RomaniaBucharest, Romania Software Engineer InternSoftware Engineer InternAdobe · Full-timeAdobe · Full-timeJul 2020 - Oct 2020 · 4 mosJul 2020 to Oct 2020 · 4 mos Software Engineer InternSoftware Engineer InternAdobeAdobeJul 2019 - Oct 2019 · 4 mosJul 2019 to Oct 2019 · 4 mosBucharest Metropolitan Area "
27,romania,"·      Software DeveloperSoftware DeveloperDeutsche Bank · Full-timeDeutsche Bank · Full-timeJul 2022 - Present · 3 yrs 9 mosJul 2022 to Present · 3 yrs 9 mosBucharest, RomaniaBucharest, Romaniao    StudentStudentCegeka · ApprenticeshipCegeka · ApprenticeshipMar 2022 - May 2022 · 3 mosMar 2022 to May 2022 · 3 mosBucharest, Romania "
28,romania,"Software DeveloperSoftware DeveloperDeutsche Bank · Full-timeDeutsche Bank · Full-timeJul 2025 - Present · 9 mosJul 2025 to Present · 9 mosBucharest, RomaniaBucharest, Romania"
29,romania,"Software EngineerSoftware EngineerBandwidth Inc.Bandwidth Inc.Oct 2024 - Present · 1 yr 6 mosOct 2024 to Present · 1 yr 6 mosSoftware EngineerSoftware EngineerNess Digital Engineering · Full-timeNess Digital Engineering · Full-timeNov 2022 - Oct 2024 · 2 yrsNov 2022 to Oct 2024 · 2 yrsIaşi, RomaniaIaşi, RomaniaSoftware EngineerSoftware EngineerMambu · Full-timeMambu · Full-timeApr 2021 - Oct 2022 · 1 yr 7 mosApr 2021 to Oct 2022 · 1 yr 7 mosBack End DeveloperBack End DeveloperCGM Software RomaniaCGM Software RomaniaJun 2019 - Apr 2021 · 1 yr 11 mosJun 2019 to Apr 2021 · 1 yr 11 mosWorking StudentWorking StudentContinentalContinentalSep 2018 - Mar 2019 · 7 mosSep 2018 to Mar 2019 · 7 mosIaşi, Romania"
30,romania," OrangeOrange3 yrs 7 mos3 yrs 7 moso  Software Development EngineerSoftware Development EngineerMay 2025 - Present · 11 mosMay 2025 to Present · 11 mosBucharest, RomaniaBucharest, Romaniao  Junior Software Development EngineerJunior Software Development EngineerFull-timeFull-timeSep 2022 - May 2025 · 2 yrs 9 mosSep 2022 to May 2025 · 2 yrs 9 mosBucharest, RomaniaBucharest, Romania·      Full-stack Developer Intern Full-stack Developer InternFull-stack Developer InternElse Digital SolutionsElse Digital SolutionsJul 2021 - Sep 2021 · 3 mosJul 2021 to Sep 2021 · 3 mosBucharest, Romania "
